OpenAlex URL,OpenAlex ID,OpenAlex Title,OpenAlex Primary Topic,DRUID
https://openalex.org/W3205118685,W3205118685,"A prolonged, two-step oxygenation of Earth's early atmosphere: Support from confidence intervals",Paleontology,druid:bd249zv4483
https://openalex.org/W4372257879,W4372257879,Inhibition of dopamine neurons prevents incentive value encoding of a reward cue: With revelations from deep phenotyping,Cellular and Molecular Neuroscience,druid:bq622qr9831
https://openalex.org/W2988715931,W2988715931,Deep Hough Voting for 3D Object Detection in Point Clouds,Geology,druid:by432qh9476
https://openalex.org/W4388296862,W4388296862,Chromosome-level genome assemblies of two hemichordates provide new insights into deuterostome origin and chromosome evolution,Aquatic Science,druid:cg511zt1011
https://openalex.org/W3202546816,W3202546816,Grouptron: Dynamic Multi-Scale Graph Convolutional Networks for Group-Aware Dense Crowd Trajectory Forecasting,Computer Vision and Pattern Recognition,druid:cm292rt3568
https://openalex.org/W4212832069,W4212832069,"The Primacy of Intention and the Duty to Truth: A Gandhi-Inspired Argument for Retranslating Hiṃsā and Ahiṃsā, with Connections to History, Ethics, and Civil Resistance",Philosophy,druid:cm519sm7175
https://openalex.org/W2901173781,W2901173781,"Moderate-to-High Levels of Pretreatment HIV Drug Resistance in KwaZulu-Natal Province, South Africa",Infectious Diseases,druid:cv788rk8775
https://openalex.org/W3013783484,W3013783484,Dynamical model of the CLC-2 ion channel reveals conformational changes associated with selectivity-filter gating,Molecular Biology,druid:df625mx6241
https://openalex.org/W3142628408,W3142628408,"Attending live theatre improves empathy, changes attitudes, and leads to pro-social behavior",Literature and Literary Theory,druid:dj375gw4933
https://openalex.org/W4289816757,W4289816757,Addictions may be driven by competition-induced microbiome dysbiosis,Biological Psychiatry,druid:dn639jg5782
https://openalex.org/W3163386873,W3163386873,"Asian=Machine, Black=Animal? The Racial Asymmetry of Dehumanization",Gender Studies,druid:dq598kw6649
https://openalex.org/W4226140866,W4226140866,Weathering intensity and lithium isotopes: A reactive transport perspective,Geochemistry and Petrology,druid:dt900cp4655
